Gene,C,Z,Pval,FDR,Module
PLAC8,0.2054983023547274,173.8644104511091,0.0,0.0,1.0
IPCEF1,0.08467130927772891,173.78442699631128,0.0,0.0,4.0
CES1,0.12476066840262552,173.42311931279409,0.0,0.0,17.0
FOXO3,0.10417365617267309,173.23409534865013,0.0,0.0,8.0
LGALS2,0.13839665340029164,172.87114628232717,0.0,0.0,12.0
ITGA2B,0.10212005800532561,172.7322982004064,0.0,0.0,17.0
AL034397.3,0.07040717870297758,172.04563376842995,0.0,0.0,4.0
HIF1A,0.09748987947663267,171.68720725117512,0.0,0.0,9.0
PFKFB3,0.13154204086586005,170.99415576877195,0.0,0.0,3.0
RSAD2,0.15780366513072297,170.9496497587767,0.0,0.0,2.0
ZEB2,0.08807750302121166,170.21568073749913,0.0,0.0,12.0
DOCK10,0.08623787951560591,170.16932831516908,0.0,0.0,-1.0
CMPK2,0.15224400738585278,169.42552178426033,0.0,0.0,2.0
NFAT5,0.10378347808421755,169.2123304198994,0.0,0.0,3.0
FCAR,0.10357961035175678,168.3985964660289,0.0,0.0,8.0
AC020656.1,0.10533040260604858,167.1903457364773,0.0,0.0,17.0
CALR,0.14708090686736802,167.1297345569843,0.0,0.0,6.0
RAPGEF1,0.12498162631511234,166.18179694937078,0.0,0.0,3.0
NRG1,0.0579791372172997,164.7637638933751,0.0,0.0,15.0
AHR,0.07451254727726442,164.52918271964387,0.0,0.0,12.0
DLEU2,0.07246388703401019,164.4153862897177,0.0,0.0,4.0
ATP10A,0.11399493338993473,163.68169802899757,0.0,0.0,13.0
RIPK2,0.09305251934623428,163.04487061702108,0.0,0.0,3.0
IFI35,0.15011222361420282,163.0312209221163,0.0,0.0,1.0
TUBA1B,0.14341017768022965,161.9907726960231,0.0,0.0,6.0
CAVIN2,0.140371485471585,161.93743537436671,0.0,0.0,17.0
RASGEF1B,0.10019717246738034,160.4909213315812,0.0,0.0,12.0
AL157871.4,0.09792820186147017,160.32963462896558,0.0,0.0,1.0
IFIT2,0.2263384103061026,160.00305500886265,0.0,0.0,2.0
TMEM123,0.1454669345444677,159.46056757212602,0.0,0.0,6.0
DOCK4,0.1252564723734941,158.89447274779312,0.0,0.0,9.0
TENM1,0.03787938969741776,158.63555244723344,0.0,0.0,4.0
FMN1,0.09655582295746348,158.54505021585388,0.0,0.0,13.0
PLEK,0.1042436031938231,158.47986814325085,0.0,0.0,3.0
IRF7,0.1293234795176639,158.26341302115532,0.0,0.0,1.0
CCL4,0.07783380629276018,158.18937804760975,0.0,0.0,3.0
EREG,0.07911155000664151,158.1752814900649,0.0,0.0,3.0
FAR2,0.059399181481582006,156.73946070012437,0.0,0.0,12.0
NLRP3,0.08326521795473317,156.6881539605059,0.0,0.0,3.0
GPR183,0.11829773209628681,156.40505624508307,0.0,0.0,14.0
IFIT1,0.19543881277063563,155.7737371456795,0.0,0.0,2.0
TNIP1,0.0873623558003859,155.4455741012253,0.0,0.0,3.0
CD36,0.06356772378413357,155.2226029159998,0.0,0.0,4.0
CCL3,0.09959483069350344,154.80186870549602,0.0,0.0,3.0
CLIC4,0.08920740619430437,154.66395797223066,0.0,0.0,3.0
PIK3R5,0.11080477348906839,154.59519796061306,0.0,0.0,9.0
AFF3,0.13703309140402334,154.521727374845,0.0,0.0,13.0
MAP3K5,0.08017812756856349,154.08999942071273,0.0,0.0,10.0
CPED1,0.0754955944367762,153.94336967060855,0.0,0.0,13.0
ARL4C,0.1151670580701351,153.75876416145223,0.0,0.0,14.0
TUBA1A,0.06388286136398139,153.7185685642832,0.0,0.0,5.0
DTNA,0.0817768784925178,153.27148313775626,0.0,0.0,13.0
DDX60,0.09723946138018809,153.22815646736368,0.0,0.0,2.0
DENND5A,0.09886701802675744,153.17136253248228,0.0,0.0,3.0
AC103591.3,0.052681998359831894,152.71327504078423,0.0,0.0,5.0
YPEL5,0.07187590780712297,152.0940641716924,0.0,0.0,8.0
LOXHD1,0.05571339910958915,151.61047344606328,0.0,0.0,4.0
SLC22A15,0.06707457636112196,151.16290701425413,0.0,0.0,4.0
SPOCK1,0.06603279953525398,150.68880440537387,0.0,0.0,4.0
PRDM1,0.1117805927285561,150.35197004042269,0.0,0.0,3.0
AL360012.1,0.07069855572838013,150.23369608335477,0.0,0.0,5.0
PCCA,0.08488431880366329,149.83225074753292,0.0,0.0,7.0
STEAP4,0.07251419490761689,149.54406096552296,0.0,0.0,3.0
CARMIL1,0.06098545984890714,148.3898234518517,0.0,0.0,7.0
PELI1,0.06575976774752638,147.82684197861005,0.0,0.0,-1.0
IKZF1,0.06278763219094742,147.7358579904584,0.0,0.0,16.0
IL31RA,0.11865647229462657,147.44476482003594,0.0,0.0,1.0
CDKN1A,0.12070677963147336,147.34846860066708,0.0,0.0,6.0
IFI16,0.10379444212071916,146.6151165281022,0.0,0.0,2.0
ADGRE5,0.09580159407403492,146.35383083902124,0.0,0.0,-1.0
SNX10,0.1076661119169285,146.20385237715635,0.0,0.0,1.0
AC245014.3,0.08993139029872627,145.48177174397873,0.0,0.0,5.0
PROK2,0.06951694255397632,144.58149943230836,0.0,0.0,8.0
SIGLEC1,0.10494808055672016,144.09888757064846,0.0,0.0,2.0
ADAM19,0.061801689583946204,143.77305024666043,0.0,0.0,4.0
NR4A3,0.10283843637479409,143.51944667128268,0.0,0.0,9.0
CELF2,0.08851958908515312,142.99518847923156,0.0,0.0,16.0
SPRED1,0.07935603666441929,141.85652116722028,0.0,0.0,7.0
SERPINI2,0.061250723263186084,141.73437717011208,0.0,0.0,12.0
RBM47,0.09445391659991065,141.7075567766396,0.0,0.0,-1.0
FCGR3A,0.19856094540415775,140.3714174272793,0.0,0.0,7.0
ELMO1,0.07649756160879045,140.20043908522683,0.0,0.0,11.0
FYN,0.06887561402428605,140.11130378107384,0.0,0.0,4.0
CYP1B1,0.07898190003479746,140.0265724937767,0.0,0.0,8.0
MEF2A,0.10070592954791102,139.56263615122643,0.0,0.0,13.0
DUSP2,0.10581657087483679,139.22086184033085,0.0,0.0,3.0
ADK,0.06876777628312798,138.73043029569357,0.0,0.0,11.0
LIPA,0.11353826756864792,138.40935957550042,0.0,0.0,6.0
SLAMF7,0.13773012775761914,138.26411868472061,0.0,0.0,1.0
BMP2K,0.061144040571619,137.69353325063335,0.0,0.0,10.0
IER3,0.0968582427188897,137.54738506423033,0.0,0.0,3.0
TUBB6,0.08872347137119543,137.1973909296981,0.0,0.0,14.0
CTNNB1,0.09379336729367792,136.9234843007663,0.0,0.0,9.0
RUNX3,0.10031157830770666,136.90504320196862,0.0,0.0,7.0
