epoch,elbo_train,elbo_validation
122,1801.6522216796875,1799.1136474609375
123,1801.619384765625,1799.0740966796875
124,1801.624755859375,1799.0172119140625
125,1801.595458984375,1799.1607666015625
126,1801.6171875,1799.133544921875
127,1801.58056640625,1799.0550537109375
128,1801.5555419921875,1799.052978515625
129,1801.5791015625,1799.15576171875
130,1801.55126953125,1799.00634765625
131,1801.5738525390625,1799.044677734375
132,1801.5185546875,1799.167724609375
133,1801.52587890625,1799.0845947265625
134,1801.521484375,1799.0010986328125
135,1801.5067138671875,1799.02587890625
136,1801.4886474609375,1799.07080078125
137,1801.52001953125,1799.0679931640625
138,1801.4893798828125,1798.9951171875
139,1801.4840087890625,1799.0
140,1801.4654541015625,1799.0225830078125
141,1801.455078125,1799.146484375
142,1801.4365234375,1798.9180908203125
143,1801.4442138671875,1798.947998046875
144,1801.470458984375,1799.0185546875
145,1801.43115234375,1798.928466796875
146,1801.40966796875,1799.16455078125
147,1801.4022216796875,1798.88134765625
148,1801.3985595703125,1798.9688720703125
149,1801.396728515625,1798.9814453125
150,1801.36669921875,1798.870849609375
151,1801.41796875,1799.03857421875
152,1801.402099609375,1798.9556884765625
153,1801.373291015625,1798.9732666015625
154,1801.3858642578125,1799.15234375
155,1801.39111328125,1798.9019775390625
156,1801.334716796875,1798.876708984375
157,1801.3372802734375,1798.9130859375
158,1801.3375244140625,1798.88330078125
159,1801.3775634765625,1798.9976806640625
160,1801.35498046875,1798.9830322265625
161,1801.3656005859375,1798.8565673828125
162,1801.335693359375,1798.9903564453125
163,1801.3388671875,1798.8497314453125
164,1801.3536376953125,1798.9400634765625
165,1801.2967529296875,1798.8983154296875
166,1801.3116455078125,1799.00390625
167,1801.2900390625,1799.0072021484375
168,1801.2901611328125,1799.010009765625
169,1801.3028564453125,1798.9178466796875
170,1801.2734375,1798.880859375
171,1801.269287109375,1798.94091796875
172,1801.2637939453125,1798.88720703125
173,1801.3006591796875,1798.8876953125
174,1801.2564697265625,1798.8101806640625
175,1801.2376708984375,1798.82177734375
176,1801.2802734375,1798.908935546875
177,1801.2646484375,1798.99853515625
178,1801.2513427734375,1798.864013671875
179,1801.24853515625,1798.98486328125
180,1801.271240234375,1798.970703125
181,1801.19384765625,1798.798583984375
182,1801.2205810546875,1798.826904296875
183,1801.2794189453125,1798.9493408203125
184,1801.2354736328125,1798.825927734375
185,1801.200927734375,1798.798583984375
186,1801.1815185546875,1798.8712158203125
187,1801.175537109375,1798.9395751953125
188,1801.1689453125,1798.7901611328125
189,1801.184814453125,1798.892822265625
190,1801.19873046875,1798.79833984375
191,1801.1798095703125,1798.8470458984375
192,1801.168212890625,1798.8931884765625
193,1801.1654052734375,1798.8900146484375
194,1801.1485595703125,1798.87646484375
195,1801.1893310546875,1798.8387451171875
196,1801.1298828125,1798.7490234375
197,1801.1453857421875,1798.8031005859375
198,1801.14453125,1798.94189453125
199,1801.1641845703125,1798.913330078125
200,1801.161865234375,1798.8734130859375
201,1801.1429443359375,1798.7142333984375
202,1801.16357421875,1798.7523193359375
203,1801.1107177734375,1798.8331298828125
204,1801.138671875,1798.899169921875
205,1801.123046875,1798.9256591796875
206,1801.1370849609375,1798.9764404296875
207,1801.0916748046875,1798.779052734375
208,1801.1370849609375,1798.899169921875
209,1801.107421875,1798.866943359375
210,1801.104736328125,1798.8680419921875
211,1801.0919189453125,1798.8433837890625
212,1801.0697021484375,1798.7908935546875
213,1801.097412109375,1798.908935546875
214,1801.121337890625,1798.7978515625
215,1801.06103515625,1798.819091796875
216,1801.1348876953125,1799.0565185546875
